HCPCS Code,Modifier,Short Description,Mac Locality,Non-Facility Price,Facility Price,GPCI Work,GPCI PE,GPCI MP,Proc Stat,Not Used for Medicare,Work RVU,NA Flag for Non-FAC PE RVU,Non-facility PE RVU,Transitioned Non-FAC PE RVU,NA Flag for facility PE RVU,Facility PE RVU,Transitioned Facility PE RVU,MP RVU,Non-facility Total,Transitioned Non-FAC Total,Facility Total,Transitioned Facility Total,PCTC,Global,Pre Op,Intra Op,Post Op,Mult Surg,Bilt Surg,Asst Surg,Co Surg,Team Surg,Phys Supv,Endobase,Conv Fact,Diag Imaging Family Ind
31231,,"Nasal endoscopy, dx",3114617,125.06,68.04,1.028,1.125,0.783,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",3114009,144.59,74.65,1.063,1.38,0.639,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",3114006,147.91,75.34,1.048,1.432,0.687,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",3114005,150.6,76.71,1.068,1.458,0.687,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",3114007,133.3,70.71,1.041,1.235,0.687,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",3114003,133.21,69.96,1.015,1.248,0.687,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",3114618,127.69,69.97,1.056,1.139,0.955,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",3114626,130.21,70.2,1.037,1.184,0.955,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",52013,100.56,57.64,0.953,0.847,0.34,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",83200,113.96,64.39,0.994,0.978,1.111,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",83101,131.18,71.79,1.064,1.172,1.223,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",51000,104.58,60.49,0.978,0.87,0.807,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",82521,106.54,61.18,0.967,0.895,1.005,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",95100,109.38,62.3,0.981,0.929,0.939,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
31231,,"Nasal endoscopy, dx",1651016,104.18,61.11,0.963,0.85,1.378,A,,1.1,,2.01,0,,0.61,0,0.08,3.19,0,1.79,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,36.1992,
