HCPCS Code,Modifier,Short Description,Mac Locality,Non-Facility Price,Facility Price,GPCI Work,GPCI PE,GPCI MP,Proc Stat,Not Used for Medicare,Work RVU,NA Flag for Non-FAC PE RVU,Non-facility PE RVU,Transitioned Non-FAC PE RVU,NA Flag for facility PE RVU,Facility PE RVU,Transitioned Facility PE RVU,MP RVU,Non-facility Total,Transitioned Non-FAC Total,Facility Total,Transitioned Facility Total,PCTC,Global,Pre Op,Intra Op,Post Op,Mult Surg,Bilt Surg,Asst Surg,Co Surg,Team Surg,Phys Supv,Endobase,Conv Fact,Diag Imaging Family Ind
31231,,"Nasal endoscopy, dx",65000,156.95,73.43,1.0,0.878,0.721,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",59100,196.65,85.36,1.038,1.17,0.9,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",59004,183.81,84.31,1.0,1.046,2.269,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",52899,154.11,73.54,1.0,0.847,1.058,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",52401,173.72,79.65,1.045,0.989,0.909,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",52301,167.59,76.75,1.0,0.955,0.941,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",52105,158.7,74.32,1.0,0.887,0.895,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",51200,151.94,72.13,1.0,0.839,0.722,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",51101,185.31,81.72,1.01,1.089,0.966,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114699,179.76,79.6,1.007,1.053,0.733,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114626,205.15,87.58,1.034,1.236,0.954,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114618,195.16,85.2,1.041,1.156,0.954,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114617,196.86,84.71,1.028,1.179,0.744,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114550,167.8,75.72,1.0,0.968,0.514,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114440,176.84,79.15,1.0,1.027,0.942,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114399,186.49,81.57,1.007,1.103,0.823,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114301,216.48,90.07,1.03,1.329,0.823,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114299,157.69,73.41,1.0,0.886,0.637,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114203,174.0,77.64,1.0,1.013,0.637,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114099,179.76,79.6,1.007,1.053,0.733,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114009,245.06,98.57,1.083,1.54,0.604,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114007,222.29,91.88,1.054,1.371,0.651,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114006,244.24,98.14,1.073,1.536,0.639,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114005,244.64,97.87,1.06,1.543,0.651,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",3114003,217.52,90.06,1.035,1.34,0.651,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",1433004,206.62,89.81,1.032,1.228,1.71,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",553500,162.06,74.55,1.0,0.92,0.64,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",544035,156.77,73.15,1.0,0.879,0.631,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",513000,154.77,72.2,1.0,0.868,0.459,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",97350,175.38,78.92,1.0,1.014,1.003,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",97320,132.25,65.86,1.0,0.698,0.261,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",95400,172.2,76.6,1.0,1.005,0.41,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",95399,165.19,77.58,1.0,0.921,1.518,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",95301,188.0,87.74,1.037,1.054,2.744,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",95299,157.78,74.84,1.0,0.872,1.193,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",95216,193.76,86.65,1.025,1.126,1.867,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",95215,191.32,85.26,1.018,1.115,1.652,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
31231,,"Nasal endoscopy, dx",95212,168.29,78.97,1.0,0.939,1.75,A,,1.1,,3.39,0,,0.88,0,0.09,4.58,0,2.07,0,0,0,0.0,0.0,0.0,2,2,1,0,0,9,,37.8975,99
