"CPT only copyright 2021 American Medical Association. All rights reserved.					",,,,,,
,,,,,,
"2021 Part B National Summary Data File 
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17810,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
CARDIOVASCULAR,33010,OTHER,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33010,TOTAL,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33016,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33016,OTHER,"4,367 ","$935,076.73 ","$745,532.46 ",
CARDIOVASCULAR,33016,TOTAL,"4,367 ","$935,076.73 ","$745,532.46 ",
CARDIOVASCULAR,33017,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33017,OTHER,"3,371 ","$760,122.48 ","$606,030.60 ",
CARDIOVASCULAR,33017,TOTAL,"3,371 ","$760,122.48 ","$606,030.60 ",
CARDIOVASCULAR,33018,OTHER,N/A,"$1,122.90 ",$901.61 ,
CARDIOVASCULAR,33018,TOTAL,N/A,"$1,122.90 ",$901.61 ,
CARDIOVASCULAR,33019,OTHER,274 ,"$62,245.59 ","$49,936.06 ",
CARDIOVASCULAR,33019,TOTAL,274 ,"$62,245.59 ","$49,936.06 ",
CARDIOVASCULAR,33020,80S,72 ,"$7,565.17 ","$6,079.60 ",
CARDIOVASCULAR,33020,OTHER,147 ,"$106,698.64 ","$85,529.39 ",
CARDIOVASCULAR,33020,TOTAL,219 ,"$114,263.81 ","$91,608.99 ",
CARDIOVASCULAR,33025,80S,"1,422 ","$149,985.64 ","$119,814.42 ",
CARDIOVASCULAR,33025,OTHER,"3,889 ","$2,884,591.55 ","$2,309,582.21 ",
CARDIOVASCULAR,33025,TOTAL,"5,311 ","$3,034,577.19 ","$2,429,396.63 ",
CARDIOVASCULAR,33030,80S,81 ,"$23,034.84 ","$18,348.47 ",
CARDIOVASCULAR,33030,OTHER,214 ,"$410,565.20 ","$327,194.62 ",
CARDIOVASCULAR,33030,TOTAL,295 ,"$433,600.04 ","$345,543.09 ",
CARDIOVASCULAR,33031,80S,106 ,"$34,486.95 ","$27,658.57 ",
CARDIOVASCULAR,33031,OTHER,200 ,"$454,885.46 ","$361,693.49 ",
CARDIOVASCULAR,33031,TOTAL,306 ,"$489,372.41 ","$389,352.06 ",
CARDIOVASCULAR,33050,80S,22 ,"$2,005.18 ","$1,617.74 ",
CARDIOVASCULAR,33050,OTHER,66 ,"$42,531.22 ","$34,236.13 ",
CARDIOVASCULAR,33050,TOTAL,88 ,"$44,536.40 ","$35,853.87 ",
CARDIOVASCULAR,33120,80S,335 ,"$90,667.28 ","$72,491.09 ",
CARDIOVASCULAR,33120,OTHER,626 ,"$1,178,275.62 ","$946,341.43 ",
CARDIOVASCULAR,33120,TOTAL,961 ,"$1,268,942.90 ","$1,018,832.52 ",
CARDIOVASCULAR,33130,80S,18 ,"$2,241.98 ","$1,808.10 ",
