CPT only copyright 2016 American Medical Association. All rights reserved.,,,,,,,,
,,,,,,,,
"""2016 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17951,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
CARDIOVASCULAR,33010,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33010,OTHER,"5,543","$606,092.05","$467,509.33",,,
CARDIOVASCULAR,33010,TOTAL,"5,543","$606,092.05","$467,509.33",,,
CARDIOVASCULAR,33011,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33011,OTHER,83,"$9,322.41","$7,104.46",,,
CARDIOVASCULAR,33011,TOTAL,83,"$9,322.41","$7,104.46",,,
CARDIOVASCULAR,33015,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33015,OTHER,"1,011","$488,572.63","$380,458.05",,,
CARDIOVASCULAR,33015,TOTAL,"1,011","$488,572.63","$380,458.05",,,
CARDIOVASCULAR,33020,80S,55,"$5,712.31","$4,493.71",,,
CARDIOVASCULAR,33020,OTHER,178,"$127,424.33","$97,781.04",,,
CARDIOVASCULAR,33020,TOTAL,233,"$133,136.64","$102,274.75",,,
CARDIOVASCULAR,33025,80S,"1,836","$205,072.43","$159,280.57",,,
CARDIOVASCULAR,33025,OTHER,"5,147","$4,034,925.57","$3,138,886.77",,,
CARDIOVASCULAR,33025,TOTAL,"6,983","$4,239,998.00","$3,298,167.34",,,
CARDIOVASCULAR,33030,80S,146,"$40,938.59","$31,872.85",,,
CARDIOVASCULAR,33030,OTHER,362,"$709,762.79","$547,094.99",,,
CARDIOVASCULAR,33030,TOTAL,508,"$750,701.38","$578,967.84",,,
CARDIOVASCULAR,33031,80S,123,"$39,928.36","$31,036.17",,,
CARDIOVASCULAR,33031,OTHER,213,"$479,722.88","$374,818.86",,,
CARDIOVASCULAR,33031,TOTAL,336,"$519,651.24","$405,855.03",,,
CARDIOVASCULAR,33050,80S,24,"$2,505.32","$1,775.00",,,
CARDIOVASCULAR,33050,OTHER,75,"$50,354.66","$39,307.52",,,
CARDIOVASCULAR,33050,TOTAL,99,"$52,859.98","$41,082.52",,,
CARDIOVASCULAR,33120,80S,365,"$99,648.75","$78,019.55",,,
CARDIOVASCULAR,33120,OTHER,677,"$1,285,221.33","$1,002,062.94",,,
CARDIOVASCULAR,33120,TOTAL,"1,042","$1,384,870.08","$1,080,082.49",,,
CARDIOVASCULAR,33130,80S,20,"$2,774.36","$2,018.79",,,
CARDIOVASCULAR,33130,OTHER,31,"$29,011.53","$21,527.51",,,
CARDIOVASCULAR,33130,TOTAL,51,"$31,785.89","$23,546.30",,,
CARDIOVASCULAR,33140,80S,N/A,"$2,026.41","$1,588.69",,,
CARDIOVASCULAR,33140,OTHER,29,"$47,460.16","$37,159.33",,,
CARDIOVASCULAR,33140,TOTAL,38,"$49,486.57","$38,748.02",,,
CARDIOVASCULAR,33141,80S,264,"$4,814.40","$3,742.15",,,
CARDIOVASCULAR,33141,OTHER,416,"$54,652.27","$42,191.29",,,
CARDIOVASCULAR,33141,TOTAL,680,"$59,466.67","$45,933.44",,,
CARDIOVASCULAR,33202,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33202,OTHER,"1,589","$991,668.32","$773,115.84",,,
CARDIOVASCULAR,33202,TOTAL,"1,589","$991,668.32","$773,115.84",,,
CARDIOVASCULAR,33203,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33203,OTHER,116,"$88,919.30","$69,567.93",,,
CARDIOVASCULAR,33203,TOTAL,116,"$88,919.30","$69,567.93",,,
CARDIOVASCULAR,33206,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33206,OTHER,977,"$514,645.88","$401,467.38",,,
CARDIOVASCULAR,33206,TOTAL,977,"$514,645.88","$401,467.38",,,
CARDIOVASCULAR,33207,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33207,OTHER,"17,030","$8,619,444.13","$6,721,902.11",,,
CARDIOVASCULAR,33207,TOTAL,"17,030","$8,619,444.13","$6,721,902.11",,,
CARDIOVASCULAR,33208,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33208,SG,N/A,"$73,786.60","$57,848.70",,,
CARDIOVASCULAR,33208,OTHER,"104,131","$59,616,246.18","$46,448,478.91",,,
CARDIOVASCULAR,33208,TOTAL,"104,141","$59,690,032.78","$46,506,327.61",,,
CARDIOVASCULAR,33210,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33210,OTHER,"10,564","$1,866,690.60","$1,443,682.04",,,
CARDIOVASCULAR,33210,TOTAL,"10,564","$1,866,690.60","$1,443,682.04",,,
CARDIOVASCULAR,33211,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33211,OTHER,214,"$33,549.35","$26,036.50",,,
CARDIOVASCULAR,33211,TOTAL,214,"$33,549.35","$26,036.50",,,
CARDIOVASCULAR,33212,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33212,OTHER,729,"$253,677.95","$196,840.16",,,
CARDIOVASCULAR,33212,TOTAL,729,"$253,677.95","$196,840.16",,,
CARDIOVASCULAR,33213,80S,N/A,$0.00,$0.00,,,
