CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,,,
,,,,,,,,
"""2015 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18033,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
CARDIOVASCULAR,33010,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33010,OTHER,"5,151","$562,626.12","$436,220.88",,,
CARDIOVASCULAR,33010,TOTAL,"5,151","$562,626.12","$436,220.88",,,
CARDIOVASCULAR,33011,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33011,OTHER,84,"$9,551.17","$7,430.49",,,
CARDIOVASCULAR,33011,TOTAL,84,"$9,551.17","$7,430.49",,,
CARDIOVASCULAR,33015,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33015,OTHER,"1,025","$497,290.05","$387,598.81",,,
CARDIOVASCULAR,33015,TOTAL,"1,025","$497,290.05","$387,598.81",,,
CARDIOVASCULAR,33020,80S,65,"$6,987.20","$5,384.08",,,
CARDIOVASCULAR,33020,OTHER,205,"$158,738.94","$121,909.14",,,
CARDIOVASCULAR,33020,TOTAL,270,"$165,726.14","$127,293.22",,,
CARDIOVASCULAR,33025,80S,"1,730","$193,549.16","$150,276.06",,,
CARDIOVASCULAR,33025,OTHER,"4,923","$3,877,290.79","$3,012,298.23",,,
CARDIOVASCULAR,33025,TOTAL,"6,653","$4,070,839.95","$3,162,574.29",,,
CARDIOVASCULAR,33030,80S,147,"$40,237.60","$31,518.64",,,
CARDIOVASCULAR,33030,OTHER,407,"$769,685.88","$598,280.68",,,
CARDIOVASCULAR,33030,TOTAL,554,"$809,923.48","$629,799.32",,,
CARDIOVASCULAR,33031,80S,107,"$34,289.23","$26,882.76",,,
CARDIOVASCULAR,33031,OTHER,217,"$495,525.73","$387,378.43",,,
CARDIOVASCULAR,33031,TOTAL,324,"$529,814.96","$414,261.19",,,
CARDIOVASCULAR,33050,80S,37,"$3,814.67","$2,988.77",,,
CARDIOVASCULAR,33050,OTHER,74,"$49,652.09","$38,906.69",,,
CARDIOVASCULAR,33050,TOTAL,111,"$53,466.76","$41,895.46",,,
CARDIOVASCULAR,33120,80S,317,"$88,045.77","$68,921.59",,,
CARDIOVASCULAR,33120,OTHER,626,"$1,209,418.56","$943,531.95",,,
CARDIOVASCULAR,33120,TOTAL,943,"$1,297,464.33","$1,012,453.54",,,
CARDIOVASCULAR,33130,80S,20,"$2,998.32","$2,348.47",,,
CARDIOVASCULAR,33130,OTHER,44,"$45,209.39","$34,286.20",,,
CARDIOVASCULAR,33130,TOTAL,64,"$48,207.71","$36,634.67",,,
CARDIOVASCULAR,33140,80S,21,"$4,784.86","$3,663.41",,,
CARDIOVASCULAR,33140,OTHER,35,"$56,990.91","$44,680.91",,,
CARDIOVASCULAR,33140,TOTAL,56,"$61,775.77","$48,344.32",,,
CARDIOVASCULAR,33141,80S,317,"$5,892.83","$4,619.46",,,
CARDIOVASCULAR,33141,OTHER,486,"$64,049.12","$49,601.33",,,
CARDIOVASCULAR,33141,TOTAL,803,"$69,941.95","$54,220.79",,,
CARDIOVASCULAR,33202,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33202,OTHER,"1,661","$1,076,257.08","$836,063.86",,,
CARDIOVASCULAR,33202,TOTAL,"1,661","$1,076,257.08","$836,063.86",,,
CARDIOVASCULAR,33203,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33203,OTHER,120,"$89,950.43","$69,781.07",,,
CARDIOVASCULAR,33203,TOTAL,120,"$89,950.43","$69,781.07",,,
CARDIOVASCULAR,33206,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33206,OTHER,"1,017","$487,988.68","$379,650.57",,,
CARDIOVASCULAR,33206,TOTAL,"1,017","$487,988.68","$379,650.57",,,
CARDIOVASCULAR,33207,80S,N/A,$91.47,$71.72,,,
CARDIOVASCULAR,33207,OTHER,"18,373","$9,059,640.93","$7,069,400.93",,,
CARDIOVASCULAR,33207,TOTAL,"18,374","$9,059,732.40","$7,069,472.65",,,
CARDIOVASCULAR,33208,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33208,SG,24,"$194,573.44","$152,545.52",,,
CARDIOVASCULAR,33208,OTHER,"104,898","$57,655,181.69","$44,935,033.64",,,
CARDIOVASCULAR,33208,TOTAL,"104,922","$57,849,755.13","$45,087,579.16",,,
CARDIOVASCULAR,33210,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33210,OTHER,"10,226","$1,796,028.08","$1,392,532.12",,,
CARDIOVASCULAR,33210,TOTAL,"10,226","$1,796,028.08","$1,392,532.12",,,
CARDIOVASCULAR,33211,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33211,OTHER,218,"$35,730.87","$27,604.79",,,
CARDIOVASCULAR,33211,TOTAL,218,"$35,730.87","$27,604.79",,,
CARDIOVASCULAR,33212,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33212,SG,N/A,"$18,119.29","$14,205.53",,,
CARDIOVASCULAR,33212,OTHER,"1,006","$336,332.04","$260,317.78",,,
CARDIOVASCULAR,33212,TOTAL,"1,009","$354,451.33","$274,523.31",,,
