"CPT only copyright 2022 American Medical Association. All rights reserved.					",,,,,,
,,,,,,
"2022 Part B National Summary Data File 
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17668,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
CARDIOVASCULAR,33016,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33016,OTHER,"4,124 ","$876,760.54 ","$690,026.39 ",
CARDIOVASCULAR,33016,TOTAL,"4,124 ","$876,760.54 ","$690,026.39 ",
CARDIOVASCULAR,33017,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33017,OTHER,"3,499 ","$792,594.99 ","$621,075.79 ",
CARDIOVASCULAR,33017,TOTAL,"3,499 ","$792,594.99 ","$621,075.79 ",
CARDIOVASCULAR,33018,OTHER,N/A,"$1,357.10 ","$1,075.53 ",
CARDIOVASCULAR,33018,TOTAL,N/A,"$1,357.10 ","$1,075.53 ",
CARDIOVASCULAR,33019,OTHER,242 ,"$52,758.27 ","$41,671.16 ",
CARDIOVASCULAR,33019,TOTAL,242 ,"$52,758.27 ","$41,671.16 ",
CARDIOVASCULAR,33020,80S,56 ,"$5,687.63 ","$4,406.35 ",
CARDIOVASCULAR,33020,OTHER,152 ,"$99,375.06 ","$78,168.53 ",
CARDIOVASCULAR,33020,TOTAL,208 ,"$105,062.69 ","$82,574.88 ",
CARDIOVASCULAR,33025,80S,"1,328 ","$138,271.33 ","$109,019.37 ",
CARDIOVASCULAR,33025,OTHER,"3,432 ","$2,514,459.71 ","$1,989,170.49 ",
CARDIOVASCULAR,33025,TOTAL,"4,760 ","$2,652,731.04 ","$2,098,189.86 ",
CARDIOVASCULAR,33030,80S,81 ,"$22,429.32 ","$17,866.79 ",
CARDIOVASCULAR,33030,OTHER,202 ,"$375,524.74 ","$298,371.58 ",
CARDIOVASCULAR,33030,TOTAL,283 ,"$397,954.06 ","$316,238.37 ",
CARDIOVASCULAR,33031,80S,112 ,"$36,089.34 ","$28,694.64 ",
CARDIOVASCULAR,33031,OTHER,193 ,"$439,184.40 ","$349,366.36 ",
CARDIOVASCULAR,33031,TOTAL,305 ,"$475,273.74 ","$378,061.00 ",
CARDIOVASCULAR,33050,80S,19 ,"$1,823.11 ","$1,453.13 ",
CARDIOVASCULAR,33050,OTHER,48 ,"$32,456.52 ","$25,860.54 ",
CARDIOVASCULAR,33050,TOTAL,67 ,"$34,279.63 ","$27,313.67 ",
CARDIOVASCULAR,33120,80S,330 ,"$88,368.70 ","$69,762.74 ",
CARDIOVASCULAR,33120,OTHER,624 ,"$1,148,378.50 ","$904,314.85 ",
CARDIOVASCULAR,33120,TOTAL,954 ,"$1,236,747.20 ","$974,077.59 ",
CARDIOVASCULAR,33130,80S,N/A,$270.78 ,$217.92 ,
CARDIOVASCULAR,33130,OTHER,18 ,"$16,575.19 ","$13,287.56 ",
