CPT only copyright 2013 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"2013 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17969,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
CARDIOVASCULAR,33010,80S,N/A,$10.39,$8.14,
CARDIOVASCULAR,33010,OTHER,4740,"$493,110.37","$384,209.98",
CARDIOVASCULAR,33010,TOTAL,4741,"$493,120.76","$384,218.12",
CARDIOVASCULAR,33011,OTHER,79,"$8,620.04","$6,698.97",
CARDIOVASCULAR,33011,TOTAL,79,"$8,620.04","$6,698.97",
CARDIOVASCULAR,33015,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33015,OTHER,806,"$376,396.43","$293,726.27",
CARDIOVASCULAR,33015,TOTAL,806,"$376,396.43","$293,726.27",
CARDIOVASCULAR,33020,80S,61,"$5,870.75","$4,539.44",
CARDIOVASCULAR,33020,OTHER,196,"$143,196.73","$112,600.13",
CARDIOVASCULAR,33020,TOTAL,257,"$149,067.48","$117,139.57",
CARDIOVASCULAR,33025,80S,1620,"$179,217.91","$140,222.02",
CARDIOVASCULAR,33025,OTHER,5137,"$4,012,415.03","$3,136,207.55",
CARDIOVASCULAR,33025,TOTAL,6757,"$4,191,632.94","$3,276,429.57",
CARDIOVASCULAR,33030,80S,175,"$47,515.29","$37,231.97",
CARDIOVASCULAR,33030,OTHER,462,"$852,408.13","$666,437.12",
CARDIOVASCULAR,33030,TOTAL,637,"$899,923.42","$703,669.09",
CARDIOVASCULAR,33031,80S,130,"$40,591.41","$31,539.89",
CARDIOVASCULAR,33031,OTHER,241,"$508,625.95","$392,024.09",
CARDIOVASCULAR,33031,TOTAL,371,"$549,217.36","$423,563.98",
CARDIOVASCULAR,33050,80S,33,"$3,097.48","$2,438.41",
CARDIOVASCULAR,33050,OTHER,99,"$62,781.61","$49,138.50",
CARDIOVASCULAR,33050,TOTAL,132,"$65,879.09","$51,576.91",
CARDIOVASCULAR,33120,80S,364,"$98,910.98","$77,338.35",
CARDIOVASCULAR,33120,OTHER,684,"$1,270,638.20","$990,005.72",
CARDIOVASCULAR,33120,TOTAL,1048,"$1,369,549.18","$1,067,344.07",
CARDIOVASCULAR,33130,80S,19,"$2,597.63","$2,042.65",
CARDIOVASCULAR,33130,OTHER,43,"$40,418.97","$31,347.94",
CARDIOVASCULAR,33130,TOTAL,62,"$43,016.60","$33,390.59",
CARDIOVASCULAR,33140,80S,24,"$5,209.17","$4,087.30",
CARDIOVASCULAR,33140,OTHER,37,"$57,765.33","$44,348.41",
CARDIOVASCULAR,33140,TOTAL,61,"$62,974.50","$48,435.71",
CARDIOVASCULAR,33141,80S,354,"$6,567.40","$5,117.12",
CARDIOVASCULAR,33141,OTHER,576,"$75,522.83","$59,169.70",
CARDIOVASCULAR,33141,TOTAL,930,"$82,090.23","$64,286.82",
CARDIOVASCULAR,33202,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33202,OTHER,2057,"$1,244,006.14","$972,530.89",
CARDIOVASCULAR,33202,TOTAL,2057,"$1,244,006.14","$972,530.89",
CARDIOVASCULAR,33203,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33203,OTHER,195,"$144,069.20","$112,282.99",
CARDIOVASCULAR,33203,TOTAL,195,"$144,069.20","$112,282.99",
CARDIOVASCULAR,33206,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33206,OTHER,1296,"$552,137.04","$431,276.77",
CARDIOVASCULAR,33206,TOTAL,1296,"$552,137.04","$431,276.77",
CARDIOVASCULAR,33207,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33207,SG,N/A,"$26,307.28","$20,835.38",
CARDIOVASCULAR,33207,OTHER,22346,"$10,367,808.48","$8,126,893.30",
CARDIOVASCULAR,33207,TOTAL,22350,"$10,394,115.76","$8,147,728.68",
CARDIOVASCULAR,33208,80S,N/A,$79.03,$61.96,
CARDIOVASCULAR,33208,SG,24,"$214,499.08","$168,423.33",
CARDIOVASCULAR,33208,OTHER,109158,"$56,532,276.06","$44,242,425.84",
CARDIOVASCULAR,33208,TOTAL,109183,"$56,746,854.17","$44,410,911.13",
CARDIOVASCULAR,33210,80S,N/A,$72.89,$57.14,
CARDIOVASCULAR,33210,OTHER,11658,"$1,855,377.93","$1,445,782.41",
CARDIOVASCULAR,33210,TOTAL,11661,"$1,855,450.82","$1,445,839.55",
CARDIOVASCULAR,33211,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33211,OTHER,331,"$48,127.48","$37,564.60",
CARDIOVASCULAR,33211,TOTAL,331,"$48,127.48","$37,564.60",
CARDIOVASCULAR,33212,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33212,OTHER,1485,"$491,912.25","$383,559.68",
CARDIOVASCULAR,33212,TOTAL,1485,"$491,912.25","$383,559.68",
CARDIOVASCULAR,33213,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33213,SG,N/A,"$6,717.90","$5,374.32",
CARDIOVASCULAR,33213,OTHER,4567,"$1,582,440.06","$1,234,002.60",
CARDIOVASCULAR,33213,TOTAL,4568,"$1,589,157.96","$1,239,376.92",
CARDIOVASCULAR,33214,80S,N/A,$218.17,$171.04,
CARDIOVASCULAR,33214,SG,N/A,"$20,038.98","$15,710.56",
CARDIOVASCULAR,33214,OTHER,556,"$253,432.45","$197,322.43",
CARDIOVASCULAR,33214,TOTAL,561,"$273,689.60","$213,204.03",
CARDIOVASCULAR,33215,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33215,SG,N/A,"$1,376.68","$1,079.32",
CARDIOVASCULAR,33215,OTHER,4213,"$1,067,767.09","$836,229.76",
CARDIOVASCULAR,33215,TOTAL,4215,"$1,069,143.77","$837,309.08",
CARDIOVASCULAR,33216,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33216,SG,N/A,"$2,260.74","$1,772.42",
CARDIOVASCULAR,33216,OTHER,5157,"$1,464,426.09","$1,143,203.10",
CARDIOVASCULAR,33216,TOTAL,5158,"$1,466,686.83","$1,144,975.52",
CARDIOVASCULAR,33217,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33217,OTHER,1548,"$439,071.90","$343,391.58",
CARDIOVASCULAR,33217,TOTAL,1548,"$439,071.90","$343,391.58",
CARDIOVASCULAR,33218,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33218,OTHER,803,"$268,604.91","$209,040.02",
CARDIOVASCULAR,33218,TOTAL,803,"$268,604.91","$209,040.02",
CARDIOVASCULAR,33220,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33220,OTHER,153,"$55,909.10","$43,759.43",
CARDIOVASCULAR,33220,TOTAL,153,"$55,909.10","$43,759.43",
CARDIOVASCULAR,33221,OTHER,366,"$144,353.54","$112,758.01",
CARDIOVASCULAR,33221,TOTAL,366,"$144,353.54","$112,758.01",
CARDIOVASCULAR,33222,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33222,SG,N/A,$333.65,$261.58,
CARDIOVASCULAR,33222,OTHER,4728,"$1,125,856.82","$879,700.92",
CARDIOVASCULAR,33222,TOTAL,4729,"$1,126,190.47","$879,962.50",
CARDIOVASCULAR,33223,80S,17,$917.51,$723.41,
CARDIOVASCULAR,33223,OTHER,4335,"$1,507,832.73","$1,177,662.68",
CARDIOVASCULAR,33223,TOTAL,4352,"$1,508,750.24","$1,178,386.09",
CARDIOVASCULAR,33224,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33224,OTHER,2010,"$850,619.69","$663,828.36",
CARDIOVASCULAR,33224,TOTAL,2010,"$850,619.69","$663,828.36",
CARDIOVASCULAR,33225,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33225,SG,N/A,"$28,849.02","$22,617.63",
CARDIOVASCULAR,33225,OTHER,31561,"$14,302,646.63","$11,215,564.17",
CARDIOVASCULAR,33225,TOTAL,31564,"$14,331,495.65","$11,238,181.80",
CARDIOVASCULAR,33226,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33226,SG,N/A,"$2,020.75","$1,584.27",
CARDIOVASCULAR,33226,OTHER,625,"$290,178.23","$226,243.08",
CARDIOVASCULAR,33226,TOTAL,628,"$292,198.98","$227,827.35",
CARDIOVASCULAR,33227,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33227,SG,N/A,"$16,140.28","$12,653.97",
CARDIOVASCULAR,33227,OTHER,7932,"$3,001,420.35","$2,337,189.47",
CARDIOVASCULAR,33227,TOTAL,7935,"$3,017,560.63","$2,349,843.44",
CARDIOVASCULAR,33228,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33228,SG,22,"$151,312.25","$118,628.89",
CARDIOVASCULAR,33228,OTHER,37048,"$15,206,614.43","$11,829,810.00",
CARDIOVASCULAR,33228,TOTAL,37070,"$15,357,926.68","$11,948,438.89",
CARDIOVASCULAR,33229,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33229,OTHER,2645,"$965,666.64","$747,365.03",
CARDIOVASCULAR,33229,TOTAL,2645,"$965,666.64","$747,365.03",
CARDIOVASCULAR,33230,80S,N/A,$0.00,$0.00,
