CPT only copyright 2012 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"2012 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17980,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
CARDIOVASCULAR,33010,TOTAL,"4,592","$487,489.25","$384,457.04",
CARDIOVASCULAR,33010,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33010,OTHER,"4,592","$487,489.25","$384,457.04",
CARDIOVASCULAR,33011,TOTAL,68,"$7,451.56","$5,861.09",
CARDIOVASCULAR,33011,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33011,OTHER,68,"$7,451.56","$5,861.09",
CARDIOVASCULAR,33015,TOTAL,701,"$336,494.93","$267,932.74",
CARDIOVASCULAR,33015,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33015,OTHER,701,"$336,494.93","$267,932.74",
CARDIOVASCULAR,33020,TOTAL,275,"$160,709.39","$127,998.41",
CARDIOVASCULAR,33020,80S,65,"$6,177.66","$4,942.09",
CARDIOVASCULAR,33020,OTHER,210,"$154,531.73","$123,056.32",
CARDIOVASCULAR,33025,TOTAL,"6,926","$4,345,771.23","$3,451,947.00",
CARDIOVASCULAR,33025,80S,"1,632","$182,542.76","$145,257.59",
CARDIOVASCULAR,33025,OTHER,"5,294","$4,163,228.47","$3,306,689.41",
CARDIOVASCULAR,33030,TOTAL,586,"$864,402.82","$683,678.85",
CARDIOVASCULAR,33030,80S,142,"$38,770.95","$30,900.15",
CARDIOVASCULAR,33030,OTHER,444,"$825,631.87","$652,778.70",
CARDIOVASCULAR,33031,TOTAL,411,"$607,579.80","$485,417.39",
CARDIOVASCULAR,33031,80S,153,"$48,889.75","$38,621.02",
CARDIOVASCULAR,33031,OTHER,258,"$558,690.05","$446,796.37",
CARDIOVASCULAR,33050,TOTAL,133,"$69,319.43","$55,454.37",
CARDIOVASCULAR,33050,80S,45,"$4,449.31","$3,558.30",
CARDIOVASCULAR,33050,OTHER,88,"$64,870.12","$51,896.07",
CARDIOVASCULAR,33120,TOTAL,"1,093","$1,394,636.21","$1,109,038.12",
CARDIOVASCULAR,33120,80S,397,"$106,276.77","$84,801.43",
CARDIOVASCULAR,33120,OTHER,696,"$1,288,359.44","$1,024,236.69",
CARDIOVASCULAR,33130,TOTAL,50,"$34,749.60","$27,796.90",
CARDIOVASCULAR,33130,80S,17,"$2,383.11","$1,903.67",
CARDIOVASCULAR,33130,OTHER,33,"$32,366.49","$25,893.23",
CARDIOVASCULAR,33140,TOTAL,64,"$77,705.36","$59,448.76",
CARDIOVASCULAR,33140,80S,19,"$4,333.17","$3,302.24",
CARDIOVASCULAR,33140,OTHER,45,"$73,372.19","$56,146.52",
CARDIOVASCULAR,33141,TOTAL,"1,058","$100,445.65","$79,314.27",
CARDIOVASCULAR,33141,80S,373,"$7,203.53","$5,703.99",
CARDIOVASCULAR,33141,OTHER,685,"$93,242.12","$73,610.28",
CARDIOVASCULAR,33202,TOTAL,"2,155","$1,328,486.32","$1,055,172.02",
CARDIOVASCULAR,33202,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33202,OTHER,"2,155","$1,328,486.32","$1,055,172.02",
CARDIOVASCULAR,33203,TOTAL,180,"$137,900.14","$109,871.12",
CARDIOVASCULAR,33203,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33203,OTHER,180,"$137,900.14","$109,871.12",
CARDIOVASCULAR,33206,TOTAL,"1,451","$652,022.37","$517,605.64",
CARDIOVASCULAR,33206,80S,N/A,$0.00,$0.00,
