"CPT only copyright 2020 American Medical Association. All rights reserved.					",,,,,,
,,,,,,
"2020 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17782,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
CARDIOVASCULAR,33016,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33016,OTHER,"4,504 ","$978,631.22 ","$780,089.83 ",
CARDIOVASCULAR,33016,TOTAL,"4,504 ","$978,631.22 ","$780,089.83 ",
CARDIOVASCULAR,33017,OTHER,"2,772 ","$645,940.81 ","$514,922.52 ",
CARDIOVASCULAR,33017,TOTAL,"2,772 ","$645,940.81 ","$514,922.52 ",
CARDIOVASCULAR,33018,OTHER,N/A,"$1,357.34 ","$1,086.55 ",
CARDIOVASCULAR,33018,TOTAL,N/A,"$1,357.34 ","$1,086.55 ",
CARDIOVASCULAR,33019,OTHER,275 ,"$64,104.92 ","$51,195.08 ",
CARDIOVASCULAR,33019,TOTAL,275 ,"$64,104.92 ","$51,195.08 ",
CARDIOVASCULAR,33020,80S,38 ,"$3,845.59 ","$3,090.38 ",
CARDIOVASCULAR,33020,OTHER,146 ,"$104,426.87 ","$82,551.90 ",
CARDIOVASCULAR,33020,TOTAL,184 ,"$108,272.46 ","$85,642.28 ",
CARDIOVASCULAR,33025,80S,"1,492 ","$159,998.00 ","$126,929.97 ",
CARDIOVASCULAR,33025,OTHER,"3,942 ","$2,991,186.06 ","$2,382,221.14 ",
CARDIOVASCULAR,33025,TOTAL,"5,434 ","$3,151,184.06 ","$2,509,151.11 ",
CARDIOVASCULAR,33030,80S,97 ,"$27,443.53 ","$21,755.47 ",
CARDIOVASCULAR,33030,OTHER,282 ,"$541,858.42 ","$429,196.71 ",
CARDIOVASCULAR,33030,TOTAL,379 ,"$569,301.95 ","$450,952.18 ",
CARDIOVASCULAR,33031,80S,133 ,"$41,975.26 ","$33,329.58 ",
CARDIOVASCULAR,33031,OTHER,223 ,"$503,239.67 ","$403,520.07 ",
CARDIOVASCULAR,33031,TOTAL,356 ,"$545,214.93 ","$436,849.65 ",
CARDIOVASCULAR,33050,80S,22 ,"$1,845.20 ","$1,482.65 ",
CARDIOVASCULAR,33050,OTHER,75 ,"$48,290.95 ","$37,892.79 ",
CARDIOVASCULAR,33050,TOTAL,97 ,"$50,136.15 ","$39,375.44 ",
CARDIOVASCULAR,33120,80S,329 ,"$89,058.28 ","$71,191.94 ",
CARDIOVASCULAR,33120,OTHER,576 ,"$1,080,685.73 ","$857,046.29 ",
CARDIOVASCULAR,33120,TOTAL,905 ,"$1,169,744.01 ","$928,238.23 ",
CARDIOVASCULAR,33130,80S,12 ,"$1,971.06 ","$1,521.91 ",
CARDIOVASCULAR,33130,OTHER,23 ,"$26,432.98 ","$20,885.57 ",
CARDIOVASCULAR,33130,TOTAL,35 ,"$28,404.04 ","$22,407.48 ",
