CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,,,
,,,,,,,,
"""2014 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18000,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
CARDIOVASCULAR,33010,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33010,OTHER,4944,"$528,142.92","$409,378.15",,,
CARDIOVASCULAR,33010,TOTAL,4944,"$528,142.92","$409,378.15",,,
CARDIOVASCULAR,33011,OTHER,85,"$9,198.82","$7,198.25",,,
CARDIOVASCULAR,33011,TOTAL,85,"$9,198.82","$7,198.25",,,
CARDIOVASCULAR,33015,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33015,OTHER,875,"$417,566.98","$324,636.04",,,
CARDIOVASCULAR,33015,TOTAL,875,"$417,566.98","$324,636.04",,,
CARDIOVASCULAR,33020,80S,51,"$5,462.69","$4,282.72",,,
CARDIOVASCULAR,33020,OTHER,177,"$130,881.28","$102,277.71",,,
CARDIOVASCULAR,33020,TOTAL,228,"$136,343.97","$106,560.43",,,
CARDIOVASCULAR,33025,80S,1643,"$184,590.68","$143,605.29",,,
CARDIOVASCULAR,33025,OTHER,4956,"$3,931,735.58","$3,058,936.35",,,
CARDIOVASCULAR,33025,TOTAL,6599,"$4,116,326.26","$3,202,541.64",,,
CARDIOVASCULAR,33030,80S,134,"$37,729.20","$29,369.59",,,
CARDIOVASCULAR,33030,OTHER,406,"$785,277.42","$610,271.68",,,
CARDIOVASCULAR,33030,TOTAL,540,"$823,006.62","$639,641.27",,,
CARDIOVASCULAR,33031,80S,114,"$37,828.12","$29,657.12",,,
CARDIOVASCULAR,33031,OTHER,250,"$567,777.56","$445,137.43",,,
CARDIOVASCULAR,33031,TOTAL,364,"$605,605.68","$474,794.55",,,
CARDIOVASCULAR,33050,80S,28,"$2,895.26","$2,269.93",,,
CARDIOVASCULAR,33050,OTHER,99,"$69,713.20","$52,910.14",,,
CARDIOVASCULAR,33050,TOTAL,127,"$72,608.46","$55,180.07",,,
CARDIOVASCULAR,33120,80S,369,"$103,279.06","$80,492.00",,,
CARDIOVASCULAR,33120,OTHER,645,"$1,247,915.33","$970,403.08",,,
CARDIOVASCULAR,33120,TOTAL,1014,"$1,351,194.39","$1,050,895.08",,,
CARDIOVASCULAR,33130,80S,20,"$2,931.01","$2,317.83",,,
CARDIOVASCULAR,33130,OTHER,34,"$35,604.58","$27,913.94",,,
CARDIOVASCULAR,33130,TOTAL,54,"$38,535.59","$30,231.77",,,
CARDIOVASCULAR,33140,80S,22,"$5,115.02","$4,010.15",,,
CARDIOVASCULAR,33140,OTHER,42,"$68,964.78","$53,395.99",,,
CARDIOVASCULAR,33140,TOTAL,64,"$74,079.80","$57,406.14",,,
CARDIOVASCULAR,33141,80S,334,"$6,315.18","$4,897.87",,,
CARDIOVASCULAR,33141,OTHER,558,"$75,449.81","$58,337.86",,,
CARDIOVASCULAR,33141,TOTAL,892,"$81,764.99","$63,235.73",,,
CARDIOVASCULAR,33202,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33202,OTHER,1876,"$1,183,698.88","$921,518.87",,,
CARDIOVASCULAR,33202,TOTAL,1876,"$1,183,698.88","$921,518.87",,,
CARDIOVASCULAR,33203,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33203,OTHER,164,"$122,799.20","$94,959.61",,,
CARDIOVASCULAR,33203,TOTAL,164,"$122,799.20","$94,959.61",,,
CARDIOVASCULAR,33206,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33206,OTHER,1107,"$493,606.54","$383,213.54",,,
CARDIOVASCULAR,33206,TOTAL,1107,"$493,606.54","$383,213.54",,,
CARDIOVASCULAR,33207,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33207,SG,N/A,"$52,633.87","$41,264.95",,,
CARDIOVASCULAR,33207,OTHER,20131,"$9,723,609.52","$7,581,184.60",,,
CARDIOVASCULAR,33207,TOTAL,20139,"$9,776,243.39","$7,622,449.55",,,
CARDIOVASCULAR,33208,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33208,SG,29,"$268,310.08","$210,355.10",,,
CARDIOVASCULAR,33208,OTHER,106798,"$57,648,006.79","$44,910,595.33",,,
CARDIOVASCULAR,33208,TOTAL,106827,"$57,916,316.87","$45,120,950.43",,,
CARDIOVASCULAR,33210,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33210,OTHER,10295,"$1,785,972.94","$1,385,447.02",,,
CARDIOVASCULAR,33210,TOTAL,10295,"$1,785,972.94","$1,385,447.02",,,
CARDIOVASCULAR,33211,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33211,OTHER,285,"$45,965.37","$35,841.87",,,
CARDIOVASCULAR,33211,TOTAL,285,"$45,965.37","$35,841.87",,,
CARDIOVASCULAR,33212,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33212,OTHER,1174,"$383,995.85","$298,324.86",,,
CARDIOVASCULAR,33212,TOTAL,1174,"$383,995.85","$298,324.86",,,
CARDIOVASCULAR,33213,80S,N/A,$0.00,$0.00,,,
