"CPT only copyright 2023 American Medical Association. All rights reserved.					",,,,,,
,,,,,,
"2023 Part B National Summary Data File 
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17648,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
CARDIOVASCULAR,33016,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33016,OTHER,"3,902 ","$807,370.43 ","$628,150.68 ",
CARDIOVASCULAR,33016,TOTAL,"3,902 ","$807,370.43 ","$628,150.68 ",
CARDIOVASCULAR,33017,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33017,OTHER,"3,889 ","$863,909.73 ","$677,144.76 ",
CARDIOVASCULAR,33017,TOTAL,"3,889 ","$863,909.73 ","$677,144.76 ",
CARDIOVASCULAR,33018,OTHER,N/A,"$1,463.07 ",$973.71 ,
CARDIOVASCULAR,33018,TOTAL,N/A,"$1,463.07 ",$973.71 ,
CARDIOVASCULAR,33019,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33019,OTHER,253 ,"$52,544.72 ","$41,336.50 ",
CARDIOVASCULAR,33019,TOTAL,253 ,"$52,544.72 ","$41,336.50 ",
CARDIOVASCULAR,33020,80S,54 ,"$4,828.66 ","$3,785.69 ",
CARDIOVASCULAR,33020,OTHER,122 ,"$76,320.83 ","$59,568.43 ",
CARDIOVASCULAR,33020,TOTAL,176 ,"$81,149.49 ","$63,354.12 ",
CARDIOVASCULAR,33025,80S,"1,373 ","$137,473.60 ","$107,464.42 ",
CARDIOVASCULAR,33025,OTHER,"3,356 ","$2,402,779.25 ","$1,881,354.87 ",
CARDIOVASCULAR,33025,TOTAL,"4,729 ","$2,540,252.85 ","$1,988,819.29 ",
CARDIOVASCULAR,33030,80S,81 ,"$22,073.82 ","$17,457.95 ",
CARDIOVASCULAR,33030,OTHER,198 ,"$365,045.46 ","$289,088.57 ",
CARDIOVASCULAR,33030,TOTAL,279 ,"$387,119.28 ","$306,546.52 ",
CARDIOVASCULAR,33031,80S,94 ,"$28,049.77 ","$22,156.79 ",
CARDIOVASCULAR,33031,OTHER,171 ,"$365,775.52 ","$288,918.93 ",
CARDIOVASCULAR,33031,TOTAL,265 ,"$393,825.29 ","$311,075.72 ",
CARDIOVASCULAR,33050,80S,21 ,"$2,109.55 ","$1,677.52 ",
CARDIOVASCULAR,33050,OTHER,50 ,"$33,128.29 ","$26,236.59 ",
CARDIOVASCULAR,33050,TOTAL,71 ,"$35,237.84 ","$27,914.11 ",
CARDIOVASCULAR,33120,80S,321 ,"$83,306.33 ","$65,532.24 ",
CARDIOVASCULAR,33120,OTHER,594 ,"$1,074,780.62 ","$843,529.73 ",
CARDIOVASCULAR,33120,TOTAL,915 ,"$1,158,086.95 ","$909,061.97 ",
CARDIOVASCULAR,33130,80S,N/A,$810.66 ,$639.44 ,
CARDIOVASCULAR,33130,OTHER,19 ,"$20,518.03 ","$16,311.89 ",
