CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"2010 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18050,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
CARDIOVASCULAR,33010,TOTAL,"4,235","$472,927.81","$373,359.19",
CARDIOVASCULAR,33010,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33010,OTHER,"4,235","$472,927.81","$373,359.19",
CARDIOVASCULAR,33011,TOTAL,100,"$10,422.98","$8,259.15",
CARDIOVASCULAR,33011,OTHER,100,"$10,422.98","$8,259.15",
CARDIOVASCULAR,33015,TOTAL,623,"$300,525.49","$238,823.83",
CARDIOVASCULAR,33015,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33015,OTHER,623,"$300,525.49","$238,823.83",
CARDIOVASCULAR,33020,TOTAL,334,"$166,999.38","$132,639.60",
CARDIOVASCULAR,33020,80S,111,"$9,868.68","$7,820.88",
CARDIOVASCULAR,33020,OTHER,223,"$157,130.70","$124,818.72",
CARDIOVASCULAR,33025,TOTAL,"6,794","$4,291,295.23","$3,413,451.20",
CARDIOVASCULAR,33025,80S,"1,554","$173,468.09","$137,947.49",
CARDIOVASCULAR,33025,OTHER,"5,240","$4,117,827.14","$3,275,503.71",
CARDIOVASCULAR,33030,TOTAL,670,"$541,797.18","$429,605.12",
CARDIOVASCULAR,33030,80S,218,"$36,794.07","$29,089.54",
CARDIOVASCULAR,33030,OTHER,452,"$505,003.11","$400,515.58",
CARDIOVASCULAR,33031,TOTAL,334,"$209,803.05","$166,973.95",
CARDIOVASCULAR,33031,80S,118,"$15,262.18","$12,147.69",
CARDIOVASCULAR,33031,OTHER,216,"$194,540.87","$154,826.26",
CARDIOVASCULAR,33050,TOTAL,129,"$63,276.01","$49,755.51",
CARDIOVASCULAR,33050,80S,38,"$3,550.95","$2,760.98",
CARDIOVASCULAR,33050,OTHER,91,"$59,725.06","$46,994.53",
CARDIOVASCULAR,33120,TOTAL,"1,041","$868,072.62","$688,910.51",
CARDIOVASCULAR,33120,80S,376,"$67,171.87","$53,273.23",
CARDIOVASCULAR,33120,OTHER,665,"$800,900.75","$635,637.28",
CARDIOVASCULAR,33130,TOTAL,79,"$54,914.12","$43,931.26",
CARDIOVASCULAR,33130,80S,31,"$4,607.02","$3,685.61",
CARDIOVASCULAR,33130,OTHER,48,"$50,307.10","$40,245.65",
CARDIOVASCULAR,33140,TOTAL,85,"$87,748.91","$70,386.02",
CARDIOVASCULAR,33140,80S,32,"$7,011.96","$5,609.54",
CARDIOVASCULAR,33140,OTHER,53,"$80,736.95","$64,776.48",
CARDIOVASCULAR,33141,TOTAL,"1,322","$125,442.35","$99,209.82",
CARDIOVASCULAR,33141,80S,514,"$10,460.84","$8,324.69",
CARDIOVASCULAR,33141,OTHER,808,"$114,981.51","$90,885.13",
CARDIOVASCULAR,33202,TOTAL,"2,779","$1,680,416.85","$1,336,856.21",
CARDIOVASCULAR,33202,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33202,OTHER,"2,779","$1,680,416.85","$1,336,856.21",
CARDIOVASCULAR,33203,TOTAL,255,"$206,440.53","$163,509.28",
CARDIOVASCULAR,33203,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33203,OTHER,255,"$206,440.53","$163,509.28",
CARDIOVASCULAR,33206,TOTAL,"1,377","$641,005.67","$508,565.03",
CARDIOVASCULAR,33206,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33206,OTHER,"1,377","$641,005.67","$508,565.03",
CARDIOVASCULAR,33207,TOTAL,"25,130","$12,484,239.21","$9,934,035.07",
CARDIOVASCULAR,33207,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33207,OTHER,"25,130","$12,484,239.21","$9,934,035.07",
CARDIOVASCULAR,33208,TOTAL,"121,302","$65,904,940.12","$52,403,659.27",
CARDIOVASCULAR,33208,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33208,OTHER,"121,302","$65,904,940.12","$52,403,659.27",
CARDIOVASCULAR,33210,TOTAL,"21,117","$2,952,294.05","$2,338,427.36",
CARDIOVASCULAR,33210,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33210,OTHER,"21,117","$2,952,294.05","$2,338,427.36",
CARDIOVASCULAR,33211,TOTAL,764,"$104,034.03","$82,258.46",
CARDIOVASCULAR,33211,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33211,OTHER,764,"$104,034.03","$82,258.46",
CARDIOVASCULAR,33212,TOTAL,"11,244","$4,359,340.75","$3,446,062.84",
CARDIOVASCULAR,33212,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33212,SG,N/A,"$14,731.00","$11,784.80",
CARDIOVASCULAR,33212,OTHER,"11,244","$4,344,609.75","$3,434,278.04",
CARDIOVASCULAR,33213,TOTAL,"47,513","$20,598,067.94","$16,295,007.15",
CARDIOVASCULAR,33213,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33213,SG,N/A,"$38,100.90","$30,480.70",
CARDIOVASCULAR,33213,OTHER,"47,513","$20,559,967.04","$16,264,526.45",
CARDIOVASCULAR,33214,TOTAL,789,"$368,671.72","$292,428.92",
CARDIOVASCULAR,33214,80S,N/A,$461.56,$369.26,
CARDIOVASCULAR,33214,OTHER,789,"$368,210.16","$292,059.66",
CARDIOVASCULAR,33215,TOTAL,"4,977","$1,347,392.90","$1,071,009.82",
CARDIOVASCULAR,33215,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33215,OTHER,"4,977","$1,347,392.90","$1,071,009.82",
CARDIOVASCULAR,33216,TOTAL,"6,077","$1,824,526.60","$1,447,981.96",
CARDIOVASCULAR,33216,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33216,OTHER,"6,077","$1,824,526.60","$1,447,981.96",
CARDIOVASCULAR,33217,TOTAL,"2,495","$762,319.25","$606,756.14",
CARDIOVASCULAR,33217,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33217,OTHER,"2,495","$762,319.25","$606,756.14",
CARDIOVASCULAR,33218,TOTAL,827,"$249,289.44","$197,478.29",
CARDIOVASCULAR,33218,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33218,OTHER,827,"$249,289.44","$197,478.29",
CARDIOVASCULAR,33220,TOTAL,418,"$138,521.71","$109,478.14",
CARDIOVASCULAR,33220,OTHER,418,"$138,521.71","$109,478.14",
CARDIOVASCULAR,33222,TOTAL,"3,938","$995,259.46","$791,253.56",
CARDIOVASCULAR,33222,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33222,SG,N/A,$584.02,$467.22,
CARDIOVASCULAR,33222,OTHER,"3,938","$994,675.44","$790,786.34",
CARDIOVASCULAR,33223,TOTAL,"6,669","$1,972,984.90","$1,563,819.65",
CARDIOVASCULAR,33223,80S,12,$677.44,$490.82,
CARDIOVASCULAR,33223,OTHER,"6,657","$1,972,307.46","$1,563,328.83",
CARDIOVASCULAR,33224,TOTAL,"3,139","$1,461,093.11","$1,160,936.90",
CARDIOVASCULAR,33224,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33224,OTHER,"3,139","$1,461,093.11","$1,160,936.90",
CARDIOVASCULAR,33225,TOTAL,"35,235","$17,386,277.14","$13,833,524.95",
CARDIOVASCULAR,33225,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33225,OTHER,"35,235","$17,386,277.14","$13,833,524.95",
CARDIOVASCULAR,33226,TOTAL,765,"$384,597.28","$305,354.53",
CARDIOVASCULAR,33226,OTHER,765,"$384,597.28","$305,354.53",
CARDIOVASCULAR,33233,TOTAL,"62,971","$8,419,498.34","$6,677,371.25",
CARDIOVASCULAR,33233,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33233,SG,N/A,"$1,582.24","$1,265.80",
CARDIOVASCULAR,33233,OTHER,"62,971","$8,417,916.10","$6,676,105.45",
CARDIOVASCULAR,33234,TOTAL,"3,817","$1,536,971.96","$1,219,687.15",
CARDIOVASCULAR,33234,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33234,OTHER,"3,817","$1,536,971.96","$1,219,687.15",
CARDIOVASCULAR,33235,TOTAL,"3,487","$2,075,119.80","$1,651,914.79",
CARDIOVASCULAR,33235,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33235,OTHER,"3,487","$2,075,119.80","$1,651,914.79",
CARDIOVASCULAR,33236,TOTAL,44,"$29,550.08","$23,515.58",
CARDIOVASCULAR,33236,80S,N/A,$456.54,$365.23,
CARDIOVASCULAR,33236,OTHER,44,"$29,093.54","$23,150.35",
CARDIOVASCULAR,33237,TOTAL,56,"$41,399.94","$32,995.94",
CARDIOVASCULAR,33237,80S,N/A,$429.27,$343.41,
CARDIOVASCULAR,33237,OTHER,56,"$40,970.67","$32,652.53",
CARDIOVASCULAR,33238,TOTAL,103,"$61,486.44","$48,485.05",
CARDIOVASCULAR,33238,80S,12,"$1,007.62",$806.09,
CARDIOVASCULAR,33238,OTHER,91,"$60,478.82","$47,678.96",
CARDIOVASCULAR,33240,TOTAL,"39,245","$21,089,321.98","$16,650,467.72",
CARDIOVASCULAR,33240,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33240,OTHER,"39,245","$21,089,321.98","$16,650,467.72",
CARDIOVASCULAR,33241,TOTAL,"46,830","$5,858,623.29","$4,633,767.72",
CARDIOVASCULAR,33241,80S,63,"$1,636.74","$1,309.35",
CARDIOVASCULAR,33241,SG,N/A,$495.18,$396.14,
CARDIOVASCULAR,33241,OTHER,"46,767","$5,856,491.37","$4,632,062.23",
CARDIOVASCULAR,33243,TOTAL,508,"$424,700.52","$338,132.06",
CARDIOVASCULAR,33243,80S,120,"$17,099.84","$13,612.13",
CARDIOVASCULAR,33243,OTHER,388,"$407,600.68","$324,519.93",
CARDIOVASCULAR,33244,TOTAL,"6,096","$4,581,013.78","$3,636,301.59",
CARDIOVASCULAR,33244,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33244,OTHER,"6,096","$4,581,013.78","$3,636,301.59",
CARDIOVASCULAR,33246,TOTAL,N/A,$0.00,$0.00,
CARDIOVASCULAR,33246,OTHER,N/A,$0.00,$0.00,
CARDIOVASCULAR,33249,TOTAL,"59,938","$58,783,933.45","$46,704,804.27",
CARDIOVASCULAR,33249,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33249,OTHER,"59,938","$58,783,933.45","$46,704,804.27",
CARDIOVASCULAR,33250,TOTAL,11,"$13,716.30","$10,973.05",
CARDIOVASCULAR,33250,80S,N/A,$504.67,$403.74,
CARDIOVASCULAR,33250,OTHER,11,"$13,211.63","$10,569.31",
CARDIOVASCULAR,33251,TOTAL,123,"$72,023.15","$57,618.48",
CARDIOVASCULAR,33251,80S,50,"$6,383.73","$5,106.99",
CARDIOVASCULAR,33251,OTHER,73,"$65,639.42","$52,511.49",
CARDIOVASCULAR,33254,TOTAL,79,"$77,480.41","$61,873.37",
CARDIOVASCULAR,33254,80S,25,"$4,903.51","$3,922.80",
CARDIOVASCULAR,33254,OTHER,54,"$72,576.90","$57,950.57",
CARDIOVASCULAR,33255,TOTAL,119,"$148,229.75","$116,577.01",
CARDIOVASCULAR,33255,80S,32,"$7,644.39","$5,912.19",
CARDIOVASCULAR,33255,OTHER,87,"$140,585.36","$110,664.82",
CARDIOVASCULAR,33256,TOTAL,157,"$232,718.80","$185,607.85",
CARDIOVASCULAR,33256,80S,51,"$14,990.75","$11,992.59",
